"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"300k 5%";"R-EU_R0805";"R0805";"R51";"RESISTOR, European symbol";"";
"1";"30k";"R-EU_R0805";"R0805";"R77";"RESISTOR, European symbol";"";
"4";"30k1";"R-EU_R0805";"R0805";"R54, R62, R63, R64";"RESISTOR, European symbol";"";
"2";"3k3";"R-EU_R0805";"R0805";"R18, R27";"RESISTOR, European symbol";"";
"4";"470R";"R-EU_R0805";"R0805";"R37, R39, R41, R44";"RESISTOR, European symbol";"";
"1";"470n";"C-EU050-030X075";"C050-030X075";"C29";"CAPACITOR, European symbol";"";
"3";"47k";"R-EU_R0805";"R0805";"R35, R38, R40";"RESISTOR, European symbol";"";
"1";"47n";"C-EU050-025X075";"C050-025X075";"C13";"CAPACITOR, European symbol";"";
"1";"47p NPO 5%";"C-EU050-030X075";"C050-030X075";"C31";"CAPACITOR, European symbol";"";
"2";"47µ";"CPOL-EUE2.5-6";"E2,5-6";"C24, C25";"POLARIZED CAPACITOR, European symbol";"";
"2";"4k7";"R-EU_R0805";"R0805";"R19, R24";"RESISTOR, European symbol";"";
"1";"4µ7";"CPOL-EUE2.5-6";"E2,5-6";"C33";"POLARIZED CAPACITOR, European symbol";"";
"2";"50k";"3RP/1610N";"3RP/1610N";"RELEASE, THRESHOLD";"16mm Potentiometer one level";"";
"1";"50k";"TRIM_EU-B64W";"B64W";"SYMMETRY";"POTENTIOMETER";"";
"1";"50n";"C-EU050-030X075";"C050-030X075";"C28";"CAPACITOR, European symbol";"";
"1";"510R";"R-EU_R0805";"R0805";"R70";"RESISTOR, European symbol";"";
"1";"51R";"R-EU_R0805";"R0805";"R73";"RESISTOR, European symbol";"";
"1";"51R 5%";"R-EU_R0805";"R0805";"R52";"RESISTOR, European symbol";"";
"2";"590k";"R-EU_R0805";"R0805";"R55, R61";"RESISTOR, European symbol";"";
"2";"5k1";"R-EU_R0805";"R0805";"R67, R74";"RESISTOR, European symbol";"";
"1";"5k1 3300ppm";"R-EU_0207/7";"0207/7";"R53";"RESISTOR, European symbol";"";
"1";"5k1 3300ppm";"R-EU_R0805";"R0805";"R60";"RESISTOR, European symbol";"";
"2";"680R";"R-EU_R0805";"R0805";"R6, R7";"RESISTOR, European symbol";"";
"2";"680r";"R-EU_R0805";"R0805";"R20, R25";"RESISTOR, European symbol";"";
"2";"6k8";"R-EU_R0805";"R0805";"R1, R2";"RESISTOR, European symbol";"";
"1";"BC549";"BC549B";"TO92-EBC";"Q8";"NPN Transistor";"";
"2";"BC549B";"BC549B";"TO92-EBC";"Q2, Q3";"NPN Transistor";"";
"1";"Hi F";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"HIFREQ";"Header 3";"";
"1";"LM1458N";"LM1458N";"DIL08";"IC7";"OP AMP";"";
"1";"LM393N";"LM393N";"DIL08";"IC6";"COMPARATOR";"";
"1";"NE5532N";"NE5532N";"DIL08";"IC5";"AUDIO AMPLIFIER";"";
"1";"Peak";"LED-3MM-NO_SILK";"LED3MM-NS";"LED3";"LEDs";"";
"1";"Shelf/Peak Pin 1";"M01PTH_2MM";"1X01_2MM";"PAD2";"Header 1";"";
"1";"Shelf/Peak Pin 2";"M01PTH_2MM";"1X01_2MM";"PAD1";"Header 1";"";
"1";"THAT4301P20-I";"THAT4301P20-I";"DIL20";"U1";"THAT Analog Engine®";"";
"1";"TL071P";"TL071P";"DIL08";"IC2";"OP AMP";"";
"2";"TL072";"OPAMP-DUALDIP";"DIP08";"IC1, IC8";"Operational Amplifier";"";
"1";"TL074";"TL074P";"DIL14";"IC3";"OP AMP";"";
